section_code,week,ever_ccc,post,total,confirmed
1,2014-08-10T00:00:00Z,0,0,0,0
1,2014-08-17T00:00:00Z,0,0,0,0
1,2014-08-24T00:00:00Z,0,0,0,0
1,2014-08-31T00:00:00Z,0,0,0,0
1,2014-09-07T00:00:00Z,0,0,0,0
1,2014-09-14T00:00:00Z,0,0,0,0
1,2014-09-21T00:00:00Z,0,0,0,0
1,2014-09-28T00:00:00Z,0,0,0,0
1,2014-10-05T00:00:00Z,0,0,0,0
1,2014-10-12T00:00:00Z,0,0,0,0
1,2014-10-19T00:00:00Z,0,1,0,0
1,2014-10-26T00:00:00Z,0,1,0,0
1,2014-11-02T00:00:00Z,0,1,0,0
1,2014-11-09T00:00:00Z,0,1,0,0
1,2014-11-16T00:00:00Z,0,1,1,0
1,2014-11-23T00:00:00Z,0,1,0,0
1,2014-11-30T00:00:00Z,0,1,0,0
1,2014-12-07T00:00:00Z,0,1,0,0
1,2014-12-14T00:00:00Z,0,1,0,0
1,2014-12-21T00:00:00Z,0,1,0,0
1,2014-12-28T00:00:00Z,0,1,0,0
1,2015-01-04T00:00:00Z,0,1,1,0
1,2015-01-11T00:00:00Z,0,1,0,0
1,2015-01-18T00:00:00Z,0,1,0,0
1,2015-01-25T00:00:00Z,0,1,0,0
1,2015-02-01T00:00:00Z,0,1,0,0
1,2015-02-08T00:00:00Z,0,1,0,0
1,2015-02-15T00:00:00Z,0,1,0,0
1,2015-02-22T00:00:00Z,0,1,1,0
1,2015-03-01T00:00:00Z,0,1,0,0
1,2015-03-08T00:00:00Z,0,1,0,0
1,2015-03-15T00:00:00Z,0,1,0,0
1,2015-03-22T00:00:00Z,0,1,1,0
1,2015-03-29T00:00:00Z,0,1,0,0
1,2015-04-05T00:00:00Z,0,1,1,0
1,2015-04-12T00:00:00Z,0,1,0,0
1,2015-04-19T00:00:00Z,0,1,0,0
1,2015-04-26T00:00:00Z,0,1,0,0
2,2014-08-10T00:00:00Z,0,0,0,0
2,2014-08-17T00:00:00Z,0,0,0,0
2,2014-08-24T00:00:00Z,0,0,0,0
2,2014-08-31T00:00:00Z,0,0,0,0
2,2014-09-07T00:00:00Z,0,0,0,0
2,2014-09-14T00:00:00Z,0,0,0,0
2,2014-09-21T00:00:00Z,0,0,0,0
2,2014-09-28T00:00:00Z,0,0,0,0
2,2014-10-05T00:00:00Z,0,0,0,0
2,2014-10-12T00:00:00Z,0,0,0,0
2,2014-10-19T00:00:00Z,0,1,0,0
2,2014-10-26T00:00:00Z,0,1,0,0
2,2014-11-02T00:00:00Z,0,1,0,0
2,2014-11-09T00:00:00Z,0,1,0,0
2,2014-11-16T00:00:00Z,0,1,0,0
2,2014-11-23T00:00:00Z,0,1,0,0
2,2014-11-30T00:00:00Z,0,1,0,0
2,2014-12-07T00:00:00Z,0,1,0,0
2,2014-12-14T00:00:00Z,0,1,0,0
2,2014-12-21T00:00:00Z,0,1,0,0
2,2014-12-28T00:00:00Z,0,1,0,0
2,2015-01-04T00:00:00Z,0,1,0,0
2,2015-01-11T00:00:00Z,0,1,0,0
2,2015-01-18T00:00:00Z,0,1,0,0
2,2015-01-25T00:00:00Z,0,1,0,0
2,2015-02-01T00:00:00Z,0,1,1,0
2,2015-02-08T00:00:00Z,0,1,0,0
2,2015-02-15T00:00:00Z,0,1,0,0
2,2015-02-22T00:00:00Z,0,1,0,0
2,2015-03-01T00:00:00Z,0,1,0,0
2,2015-03-08T00:00:00Z,0,1,0,0
2,2015-03-15T00:00:00Z,0,1,0,0
2,2015-03-22T00:00:00Z,0,1,0,0
2,2015-03-29T00:00:00Z,0,1,0,0
2,2015-04-05T00:00:00Z,0,1,0,0
2,2015-04-12T00:00:00Z,0,1,0,0
2,2015-04-19T00:00:00Z,0,1,0,0
2,2015-04-26T00:00:00Z,0,1,0,0
3,2014-08-10T00:00:00Z,0,0,0,0
3,2014-08-17T00:00:00Z,0,0,0,0
3,2014-08-24T00:00:00Z,0,0,0,0
3,2014-08-31T00:00:00Z,0,0,0,0
3,2014-09-07T00:00:00Z,0,0,0,0
3,2014-09-14T00:00:00Z,0,0,0,0
3,2014-09-21T00:00:00Z,0,0,0,0
3,2014-09-28T00:00:00Z,0,0,1,1
3,2014-10-05T00:00:00Z,0,0,2,0
3,2014-10-12T00:00:00Z,0,0,0,0
3,2014-10-19T00:00:00Z,0,1,0,0
3,2014-10-26T00:00:00Z,0,1,0,0
3,2014-11-02T00:00:00Z,0,1,0,0
3,2014-11-09T00:00:00Z,0,1,0,0
3,2014-11-16T00:00:00Z,0,1,0,0
3,2014-11-23T00:00:00Z,0,1,0,0
3,2014-11-30T00:00:00Z,0,1,0,0
3,2014-12-07T00:00:00Z,0,1,0,0
3,2014-12-14T00:00:00Z,0,1,0,0
3,2014-12-21T00:00:00Z,0,1,0,0
3,2014-12-28T00:00:00Z,0,1,0,0
3,2015-01-04T00:00:00Z,0,1,0,0
3,2015-01-11T00:00:00Z,0,1,1,0
3,2015-01-18T00:00:00Z,0,1,0,0
3,2015-01-25T00:00:00Z,0,1,0,0
3,2015-02-01T00:00:00Z,0,1,0,0
3,2015-02-08T00:00:00Z,0,1,0,0
3,2015-02-15T00:00:00Z,0,1,1,0
3,2015-02-22T00:00:00Z,0,1,0,0
3,2015-03-01T00:00:00Z,0,1,0,0
3,2015-03-08T00:00:00Z,0,1,0,0
3,2015-03-15T00:00:00Z,0,1,1,0
3,2015-03-22T00:00:00Z,0,1,0,0
3,2015-03-29T00:00:00Z,0,1,0,0
3,2015-04-05T00:00:00Z,0,1,0,0
3,2015-04-12T00:00:00Z,0,1,0,0
3,2015-04-19T00:00:00Z,0,1,0,0
3,2015-04-26T00:00:00Z,0,1,0,0
4,2014-08-10T00:00:00Z,0,0,0,0
4,2014-08-17T00:00:00Z,0,0,0,0
4,2014-08-24T00:00:00Z,0,0,0,0
4,2014-08-31T00:00:00Z,0,0,0,0
4,2014-09-07T00:00:00Z,0,0,0,0
4,2014-09-14T00:00:00Z,0,0,0,0
4,2014-09-21T00:00:00Z,0,0,0,0
4,2014-09-28T00:00:00Z,0,0,0,0
4,2014-10-05T00:00:00Z,0,0,1,1
4,2014-10-12T00:00:00Z,0,0,0,0
4,2014-10-19T00:00:00Z,0,1,0,0
4,2014-10-26T00:00:00Z,0,1,0,0
4,2014-11-02T00:00:00Z,0,1,0,0
4,2014-11-09T00:00:00Z,0,1,0,0
4,2014-11-16T00:00:00Z,0,1,0,0
4,2014-11-23T00:00:00Z,0,1,0,0
4,2014-11-30T00:00:00Z,0,1,0,0
4,2014-12-07T00:00:00Z,0,1,0,0
4,2014-12-14T00:00:00Z,0,1,0,0
4,2014-12-21T00:00:00Z,0,1,0,0
4,2014-12-28T00:00:00Z,0,1,0,0
4,2015-01-04T00:00:00Z,0,1,0,0
4,2015-01-11T00:00:00Z,0,1,0,0
4,2015-01-18T00:00:00Z,0,1,0,0
4,2015-01-25T00:00:00Z,0,1,0,0
4,2015-02-01T00:00:00Z,0,1,0,0
4,2015-02-08T00:00:00Z,0,1,0,0
4,2015-02-15T00:00:00Z,0,1,0,0
4,2015-02-22T00:00:00Z,0,1,0,0
4,2015-03-01T00:00:00Z,0,1,1,0
4,2015-03-08T00:00:00Z,0,1,0,0
4,2015-03-15T00:00:00Z,0,1,0,0
4,2015-03-22T00:00:00Z,0,1,0,0
4,2015-03-29T00:00:00Z,0,1,0,0
4,2015-04-05T00:00:00Z,0,1,0,0
4,2015-04-12T00:00:00Z,0,1,1,0
4,2015-04-19T00:00:00Z,0,1,0,0
4,2015-04-26T00:00:00Z,0,1,0,0
5,2014-08-10T00:00:00Z,0,0,0,0
5,2014-08-17T00:00:00Z,0,0,0,0
5,2014-08-24T00:00:00Z,0,0,0,0
5,2014-08-31T00:00:00Z,0,0,0,0
5,2014-09-07T00:00:00Z,0,0,0,0
5,2014-09-14T00:00:00Z,0,0,0,0
5,2014-09-21T00:00:00Z,0,0,0,0
5,2014-09-28T00:00:00Z,0,0,0,0
5,2014-10-05T00:00:00Z,0,0,0,0
